age_group,year,sex,edu_H,edu_M,edu_L
62,2041,F,0.26403677226279804,0.4477833982314147,0.28817982950578713
67,2041,F,0.24567597839990618,0.40759008229234334,0.3467339393077505
72,2041,F,0.24567597839990618,0.40759008229234334,0.3467339393077505
77,2041,F,0.24567597839990618,0.40759008229234334,0.3467339393077505
82,2041,F,0.24567597839990618,0.40759008229234334,0.3467339393077505
87,2041,F,0.24567597839990618,0.40759008229234334,0.3467339393077505
17,2041,M,0.013575503629312325,0.20642696080398515,0.7799975355667026
22,2041,M,0.12621918485406655,0.7420245205876547,0.13175629455827884
27,2041,M,0.344265615042845,0.5344182171859974,0.12131616777115758
32,2041,M,0.35769849372192597,0.5114177031002397,0.13088380317783427
37,2041,M,0.3319139502661942,0.5268281543638351,0.14125789536997072
42,2041,M,0.29464867634951625,0.5518928758432565,0.15345844780722734
47,2041,M,0.2632792444765325,0.5657692430594555,0.170951512464012
52,2041,M,0.23875426250580092,0.5625225020390224,0.19872323545517664
57,2041,M,0.21828693442012384,0.5449867906811066,0.23672627489876966
62,2041,M,0.2003602879405404,0.5142557774380506,0.285383934621409
67,2041,M,0.18653328951037199,0.46923230134022265,0.34423440914940534
72,2041,M,0.18653328951037199,0.46923230134022265,0.34423440914940534
77,2041,M,0.18653328951037199,0.46923230134022265,0.34423440914940534
82,2041,M,0.18653328951037199,0.46923230134022265,0.34423440914940534
87,2041,M,0.18653328951037199,0.46923230134022265,0.34423440914940534
17,2042,F,0.014591682370742648,0.18156178474638876,0.8038465328828687
22,2042,F,0.14896143361247804,0.7045698952534485,0.14646867113407344
27,2042,F,0.39221155741982316,0.48026911234281605,0.12751933023736076
32,2042,F,0.4111871064486715,0.4532780192062647,0.13553487434506378
37,2042,F,0.3893465198386808,0.465115738844563,0.14553774131675626
42,2042,F,0.35561051973173086,0.4866874415867335,0.15770203868153562
47,2042,F,0.3276751074994839,0.49744971424187473,0.1748751782586414
52,2042,F,0.30485841746110365,0.4928561670508209,0.20228541548807547
57,2042,F,0.2854967627111602,0.4750843393005317,0.23941889798830815
62,2042,F,0.2672642739561142,0.4459563095073244,0.28677941653656136
67,2042,F,0.2489773340518918,0.40596222902240114,0.345060436925707
72,2042,F,0.2489773340518918,0.40596222902240114,0.345060436925707
77,2042,F,0.2489773340518918,0.40596222902240114,0.345060436925707
82,2042,F,0.2489773340518918,0.40596222902240114,0.345060436925707
87,2042,F,0.2489773340518918,0.40596222902240114,0.345060436925707
17,2042,M,0.013708055762731208,0.206473883866326,0.7798180603709428
22,2042,M,0.12737122708824256,0.7411018235377399,0.13152694937401746
27,2042,M,0.3466334876695308,0.5325377005083053,0.12082881182216389
32,2042,M,0.36060880760134084,0.5091630368632409,0.13022815553541822
37,2042,M,0.33479010705849777,0.5246286043642862,0.14058128857721602
42,2042,M,0.29769619113966567,0.5495917458591713,0.15271206300116316
47,2042,M,0.2665364982554467,0.5633720099054932,0.17009149183906028
52,2042,M,0.24197245862930453,0.560267079728498,0.1977604616421975
57,2042,M,0.22149513528344325,0.5428961457955851,0.23560871892097157
62,2042,M,0.20438572039239647,0.511882748934054,0.28373153067354945
67,2042,M,0.19027432002868172,0.4673027808206288,0.3424228991506895
72,2042,M,0.19027432002868172,0.4673027808206288,0.3424228991506895
77,2042,M,0.19027432002868172,0.4673027808206288,0.3424228991506895
82,2042,M,0.19027432002868172,0.4673027808206288,0.3424228991506895
87,2042,M,0.19027432002868172,0.4673027808206288,0.3424228991506895
17,2043,F,0.014688256127292354,0.18158997664886717,0.8037217672238405
22,2043,F,0.14995285529888625,0.7037942557365613,0.1462528889645526
27,2043,F,0.394035278655081,0.4788646660084019,0.1271000553365172
32,2043,F,0.41321823500472865,0.45175597175051574,0.1350257932447556
37,2043,F,0.3913066964234848,0.46366610203026637,0.14502720154624876
42,2043,F,0.35824614096579444,0.4847617189914965,0.15699214004270906
47,2043,F,0.33024950823332816,0.4956164790514839,0.17413401271518802
52,2043,F,0.3076952271333414,0.49093550718114676,0.20136926568551186
57,2043,F,0.2890325017313386,0.47286311716779306,0.2381043811008683
62,2043,F,0.27009057534701064,0.4443544787344798,0.28555494591850944
67,2043,F,0.2522838758996154,0.40432906107419037,0.34338706302619426
72,2043,F,0.2522838758996154,0.40432906107419037,0.34338706302619426
77,2043,F,0.2522838758996154,0.40432906107419037,0.34338706302619426
82,2043,F,0.2522838758996154,0.40432906107419037,0.34338706302619426
87,2043,F,0.2522838758996154,0.40432906107419037,0.34338706302619426
17,2043,M,0.013830211523311002,0.20651649883448817,0.7796532896422008
22,2043,M,0.12852717772229555,0.7401753998242814,0.13129742245342305
27,2043,M,0.34921346823104116,0.5304881292421358,0.120298402526823
32,2043,M,0.363272112720443,0.507099021575481,0.12962886570407595
37,2043,M,0.33766301718867775,0.5224306324307327,0.1399063503805894
42,2043,M,0.3007431195876494,0.5472898155257078,0.15196706488664286
47,2043,M,0.2697964346516564,0.560971027755626,0.16923253759271747
52,2043,M,0.2451962579417874,0.5580055348756785,0.19679820718253407
57,2043,M,0.2247117627572287,0.5407972471837545,0.23449099005901666
62,2043,M,0.2072140615638063,0.5102121927996985,0.2825737456364951
67,2043,M,0.19309245006930487,0.46584559677694004,0.34106195315375515
72,2043,M,0.19309245006930487,0.46584559677694004,0.34106195315375515
77,2043,M,0.19309245006930487,0.46584559677694004,0.34106195315375515
82,2043,M,0.19309245006930487,0.46584559677694004,0.34106195315375515
87,2043,M,0.19309245006930487,0.46584559677694004,0.34106195315375515
17,2044,F,0.014774405983699859,0.18161487496956658,0.8036107190467335
22,2044,F,0.15094645194181364,0.7030165523894714,0.14603699566871498
27,2044,F,0.3956539598638152,0.47761788015652895,0.1267281599796558
32,2044,F,0.4152452202653292,0.45023667363270786,0.134518106101963
37,2044,F,0.39350804193204963,0.46203767482949354,0.14445428323845688
42,2044,F,0.3600886820971934,0.48341501015792215,0.1564963077448844
47,2044,F,0.33253592071047355,0.4939876080634029,0.17347647122612356
52,2044,F,0.31021583330717684,0.4892279024284984,0.2005562642643248
57,2044,F,0.2911541579547778,0.47152916345058277,0.2373166785946394
62,2044,F,0.2733228689440019,0.44252045772125465,0.2841566733347436
67,2044,F,0.25559519003103603,0.40269083063395616,0.34171397933500774
72,2044,F,0.25559519003103603,0.40269083063395616,0.34171397933500774
77,2044,F,0.25559519003103603,0.40269083063395616,0.34171397933500774
82,2044,F,0.25559519003103603,0.40269083063395616,0.34171397933500774
87,2044,F,0.25559519003103603,0.40269083063395616,0.34171397933500774
17,2044,M,0.013964181799145447,0.20656255566062143,0.7794732625402331
22,2044,M,0.12959020566358612,0.7393229294005856,0.13108686493582827
27,2044,M,0.3513608467535089,0.5287817484331148,0.11985740481337623
32,2044,M,0.36593099047399424,0.505037767496811,0.12903124202919483
37,2044,M,0.3405324899643931,0.5202343993612113,0.13923311067439567
42,2044,M,0.30378919633490364,0.544987306401135,0.15122349726396123
47,2044,M,0.27335535539749706,0.5583478547989316,0.16829678980357143
52,2044,M,0.24842526622056094,0.5557381821719847,0.19583655160745433
57,2044,M,0.2279363901456353,0.5386904206822696,0.2333731891720952
62,2044,M,0.21086268401961802,0.5080533243646076,0.2810839916157744
67,2044,M,0.19733871664685124,0.4636441978803892,0.33901708547275955
72,2044,M,0.19733871664685124,0.4636441978803892,0.33901708547275955
77,2044,M,0.19733871664685124,0.4636441978803892,0.33901708547275955
82,2044,M,0.19733871664685124,0.4636441978803892,0.33901708547275955
87,2044,M,0.19733871664685124,0.4636441978803892,0.33901708547275955
17,2045,F,0.014882499277383813,0.1816457851820513,0.803471715540565
22,2045,F,0.1517428833420188,0.702392914444203,0.1458642022137781
27,2045,F,0.3974722378609418,0.47621708701759474,0.1263106751214634
32,2045,F,0.4170434697595391,0.4488885257648981,0.13406800447556275
37,2045,F,0.39594911909900865,0.4602313737409883,0.14381950716000302
42,2045,F,0.3624546840908259,0.48168516467305456,0.15586015123611963
47,2045,F,0.33482040138173164,0.49235945102397605,0.17282014759429237
52,2045,F,0.31273534530000446,0.48752008307466793,0.1997445716253276
57,2045,F,0.2943366988028477,0.4695266937957897,0.23613660740136252
62,2045,F,0.2757484496250157,0.44114272971730684,0.28310882065767745
67,2045,F,0.2584369465973281,0.40128279328667854,0.3402802601159934
72,2045,F,0.2584369465973281,0.40128279328667854,0.3402802601159934
77,2045,F,0.2584369465973281,0.40128279328667854,0.3402802601159934
82,2045,F,0.2584369465973281,0.40128279328667854,0.3402802601159934
87,2045,F,0.2584369465973281,0.40128279328667854,0.3402802601159934
17,2045,M,0.014087638872426056,0.20660437977019103,0.7793079813573829
22,2045,M,0.1305594011359294,0.7385452794223638,0.13089531944170674
27,2045,M,0.35393446271813417,0.5267361027799787,0.11932943450188721
32,2045,M,0.36858530769437586,0.5029793883716345,0.12843530393398964
37,2045,M,0.34339833771066,0.5180400634948894,0.13856159879445065
42,2045,M,0.3068341595138535,0.5426844371946422,0.1504814032915043
47,2045,M,0.2763228849516772,0.5561590253528166,0.1675180896955062
52,2045,M,0.2513355041832343,0.5536928569421973,0.19497163887456836
57,2045,M,0.23152817639487683,0.5363405977955138,0.23213122580960946
62,2045,M,0.21411691734878524,0.5061242851632115,0.2797587974880032
67,2045,M,0.19970728795559223,0.46241333080007796,0.33787938124432976
72,2045,M,0.19970728795559223,0.46241333080007796,0.33787938124432976
77,2045,M,0.19970728795559223,0.46241333080007796,0.33787938124432976
82,2045,M,0.19970728795559223,0.46241333080007796,0.33787938124432976
87,2045,M,0.19970728795559223,0.46241333080007796,0.33787938124432976
17,2046,F,0.014991043982449964,0.181676459754982,0.803332496262568
22,2046,F,0.15254068633212153,0.7017679739786172,0.14569133968926123
27,2046,F,0.39928758145600735,0.47481827309010727,0.12589414545388544
32,2046,F,0.419062505129981,0.44737452576468856,0.1335629691053304
37,2046,F,0.397898238099603,0.45878870195567395,0.14331305994472315
