projection,year,age,age_group,sex,pop
BSL,2084,14,12,F,21512.0
BSL,2085,14,12,F,21527.0
BSL,2086,14,12,F,21535.0
BSL,2087,14,12,F,21537.0
BSL,2088,14,12,F,21529.0
BSL,2089,14,12,F,21514.0
BSL,2090,14,12,F,21489.0
BSL,2091,14,12,F,21456.0
BSL,2092,14,12,F,21415.0
BSL,2093,14,12,F,21369.0
BSL,2094,14,12,F,21318.0
BSL,2095,14,12,F,21263.0
BSL,2096,14,12,F,21208.0
BSL,2097,14,12,F,21152.0
BSL,2098,14,12,F,21099.0
BSL,2099,14,12,F,21049.0
BSL,2100,14,12,F,21005.0
BSL,2022,15,17,F,29997.0
BSL,2023,15,17,F,31635.0
BSL,2024,15,17,F,33120.0
BSL,2025,15,17,F,34770.0
BSL,2026,15,17,F,32906.0
BSL,2027,15,17,F,32421.0
BSL,2028,15,17,F,31750.0
BSL,2029,15,17,F,31039.0
BSL,2030,15,17,F,31915.0
BSL,2031,15,17,F,30942.0
BSL,2032,15,17,F,30874.0
BSL,2033,15,17,F,30257.0
BSL,2034,15,17,F,29178.0
BSL,2035,15,17,F,29021.0
BSL,2036,15,17,F,27873.0
BSL,2037,15,17,F,27717.0
BSL,2038,15,17,F,27145.0
BSL,2039,15,17,F,26044.0
BSL,2040,15,17,F,25984.0
BSL,2041,15,17,F,25530.0
BSL,2042,15,17,F,25137.0
BSL,2043,15,17,F,24821.0
BSL,2044,15,17,F,24534.0
BSL,2045,15,17,F,24332.0
BSL,2046,15,17,F,24195.0
BSL,2047,15,17,F,24122.0
BSL,2048,15,17,F,24104.0
BSL,2049,15,17,F,24128.0
BSL,2050,15,17,F,24199.0
BSL,2051,15,17,F,24285.0
BSL,2052,15,17,F,24375.0
BSL,2053,15,17,F,24456.0
BSL,2054,15,17,F,24520.0
BSL,2055,15,17,F,24561.0
BSL,2056,15,17,F,24575.0
BSL,2057,15,17,F,24556.0
BSL,2058,15,17,F,24503.0
BSL,2059,15,17,F,24415.0
BSL,2060,15,17,F,24293.0
BSL,2061,15,17,F,24141.0
BSL,2062,15,17,F,23966.0
BSL,2063,15,17,F,23771.0
BSL,2064,15,17,F,23561.0
BSL,2065,15,17,F,23343.0
BSL,2066,15,17,F,23121.0
BSL,2067,15,17,F,22899.0
BSL,2068,15,17,F,22683.0
BSL,2069,15,17,F,22477.0
BSL,2070,15,17,F,22286.0
BSL,2071,15,17,F,22112.0
BSL,2072,15,17,F,21957.0
BSL,2073,15,17,F,21822.0
BSL,2074,15,17,F,21711.0
BSL,2075,15,17,F,21620.0
BSL,2076,15,17,F,21552.0
BSL,2077,15,17,F,21503.0
BSL,2078,15,17,F,21473.0
BSL,2079,15,17,F,21458.0
BSL,2080,15,17,F,21457.0
BSL,2081,15,17,F,21466.0
BSL,2082,15,17,F,21482.0
BSL,2083,15,17,F,21503.0
BSL,2084,15,17,F,21523.0
BSL,2085,15,17,F,21542.0
BSL,2086,15,17,F,21557.0
BSL,2087,15,17,F,21567.0
BSL,2088,15,17,F,21569.0
BSL,2089,15,17,F,21563.0
BSL,2090,15,17,F,21548.0
BSL,2091,15,17,F,21524.0
BSL,2092,15,17,F,21492.0
BSL,2093,15,17,F,21452.0
BSL,2094,15,17,F,21407.0
BSL,2095,15,17,F,21357.0
BSL,2096,15,17,F,21304.0
BSL,2097,15,17,F,21250.0
BSL,2098,15,17,F,21195.0
BSL,2099,15,17,F,21143.0
BSL,2100,15,17,F,21095.0
BSL,2022,16,17,F,29314.0
BSL,2023,16,17,F,31204.0
BSL,2024,16,17,F,31791.0
BSL,2025,16,17,F,32945.0
BSL,2026,16,17,F,34598.0
BSL,2027,16,17,F,32730.0
BSL,2028,16,17,F,32245.0
BSL,2029,16,17,F,31587.0
BSL,2030,16,17,F,30893.0
BSL,2031,16,17,F,31781.0
BSL,2032,16,17,F,30815.0
BSL,2033,16,17,F,30761.0
BSL,2034,16,17,F,30159.0
BSL,2035,16,17,F,29150.0
BSL,2036,16,17,F,28995.0
BSL,2037,16,17,F,27848.0
BSL,2038,16,17,F,27693.0
BSL,2039,16,17,F,27125.0
BSL,2040,16,17,F,26026.0
BSL,2041,16,17,F,25968.0
BSL,2042,16,17,F,25514.0
BSL,2043,16,17,F,25122.0
BSL,2044,16,17,F,24807.0
BSL,2045,16,17,F,24522.0
BSL,2046,16,17,F,24320.0
BSL,2047,16,17,F,24184.0
BSL,2048,16,17,F,24111.0
BSL,2049,16,17,F,24096.0
BSL,2050,16,17,F,24120.0
BSL,2051,16,17,F,24193.0
BSL,2052,16,17,F,24281.0
BSL,2053,16,17,F,24371.0
BSL,2054,16,17,F,24454.0
BSL,2055,16,17,F,24520.0
BSL,2056,16,17,F,24560.0
BSL,2057,16,17,F,24573.0
BSL,2058,16,17,F,24554.0
BSL,2059,16,17,F,24501.0
BSL,2060,16,17,F,24413.0
BSL,2061,16,17,F,24291.0
BSL,2062,16,17,F,24141.0
BSL,2063,16,17,F,23965.0
BSL,2064,16,17,F,23772.0
BSL,2065,16,17,F,23566.0
BSL,2066,16,17,F,23349.0
BSL,2067,16,17,F,23127.0
BSL,2068,16,17,F,22907.0
BSL,2069,16,17,F,22693.0
BSL,2070,16,17,F,22490.0
BSL,2071,16,17,F,22300.0
BSL,2072,16,17,F,22128.0
BSL,2073,16,17,F,21974.0
BSL,2074,16,17,F,21842.0
BSL,2075,16,17,F,21734.0
BSL,2076,16,17,F,21645.0
BSL,2077,16,17,F,21577.0
BSL,2078,16,17,F,21529.0
BSL,2079,16,17,F,21499.0
BSL,2080,16,17,F,21487.0
BSL,2081,16,17,F,21487.0
BSL,2082,16,17,F,21497.0
BSL,2083,16,17,F,21514.0
BSL,2084,16,17,F,21535.0
BSL,2085,16,17,F,21557.0
BSL,2086,16,17,F,21577.0
BSL,2087,16,17,F,21593.0
BSL,2088,16,17,F,21603.0
BSL,2089,16,17,F,21607.0
BSL,2090,16,17,F,21601.0
BSL,2091,16,17,F,21587.0
BSL,2092,16,17,F,21565.0
BSL,2093,16,17,F,21533.0
BSL,2094,16,17,F,21495.0
BSL,2095,16,17,F,21450.0
BSL,2096,16,17,F,21401.0
BSL,2097,16,17,F,21350.0
BSL,2098,16,17,F,21296.0
BSL,2099,16,17,F,21243.0
BSL,2100,16,17,F,21193.0
BSL,2022,17,17,F,28994.0
BSL,2023,17,17,F,30436.0
BSL,2024,17,17,F,31321.0
BSL,2025,17,17,F,31585.0
BSL,2026,17,17,F,32753.0
BSL,2027,17,17,F,34406.0
BSL,2028,17,17,F,32533.0
BSL,2029,17,17,F,32054.0
BSL,2030,17,17,F,31408.0
BSL,2031,17,17,F,30730.0
BSL,2032,17,17,F,31627.0
BSL,2033,17,17,F,30671.0
BSL,2034,17,17,F,30631.0
BSL,2035,17,17,F,30102.0
BSL,2036,17,17,F,29096.0
BSL,2037,17,17,F,28941.0
BSL,2038,17,17,F,27796.0
BSL,2039,17,17,F,27644.0
BSL,2040,17,17,F,27080.0
BSL,2041,17,17,F,25982.0
BSL,2042,17,17,F,25926.0
BSL,2043,17,17,F,25474.0
BSL,2044,17,17,F,25082.0
BSL,2045,17,17,F,24769.0
BSL,2046,17,17,F,24484.0
BSL,2047,17,17,F,24283.0
BSL,2048,17,17,F,24148.0
BSL,2049,17,17,F,24077.0
BSL,2050,17,17,F,24063.0
BSL,2051,17,17,F,24089.0
BSL,2052,17,17,F,24164.0
BSL,2053,17,17,F,24253.0
BSL,2054,17,17,F,24345.0
BSL,2055,17,17,F,24429.0
BSL,2056,17,17,F,24494.0
BSL,2057,17,17,F,24535.0
BSL,2058,17,17,F,24548.0
BSL,2059,17,17,F,24530.0
BSL,2060,17,17,F,24477.0
BSL,2061,17,17,F,24389.0
BSL,2062,17,17,F,24268.0
BSL,2063,17,17,F,24118.0
BSL,2064,17,17,F,23945.0
BSL,2065,17,17,F,23756.0
BSL,2066,17,17,F,23551.0
BSL,2067,17,17,F,23335.0
BSL,2068,17,17,F,23115.0
BSL,2069,17,17,F,22897.0
BSL,2070,17,17,F,22686.0
BSL,2071,17,17,F,22484.0
BSL,2072,17,17,F,22298.0
BSL,2073,17,17,F,22127.0
BSL,2074,17,17,F,21976.0
BSL,2075,17,17,F,21847.0
BSL,2076,17,17,F,21738.0
BSL,2077,17,17,F,21651.0
BSL,2078,17,17,F,21584.0
BSL,2079,17,17,F,21538.0
BSL,2080,17,17,F,21511.0
BSL,2081,17,17,F,21499.0
BSL,2082,17,17,F,21501.0
BSL,2083,17,17,F,21513.0
BSL,2084,17,17,F,21530.0
BSL,2085,17,17,F,21553.0
BSL,2086,17,17,F,21575.0
BSL,2087,17,17,F,21596.0
BSL,2088,17,17,F,21613.0
BSL,2089,17,17,F,21624.0
BSL,2090,17,17,F,21629.0
BSL,2091,17,17,F,21625.0
BSL,2092,17,17,F,21612.0
BSL,2093,17,17,F,21591.0
BSL,2094,17,17,F,21561.0
BSL,2095,17,17,F,21524.0
BSL,2096,17,17,F,21481.0
BSL,2097,17,17,F,21434.0
BSL,2098,17,17,F,21383.0
BSL,2099,17,17,F,21331.0
BSL,2100,17,17,F,21280.0
BSL,2022,18,17,F,28003.0
BSL,2023,18,17,F,29865.0
