age_group,year,sex,edu,l_active,l_not_active
52,2066,M,H,0.9121418555679369,0.08785814443206308
57,2066,M,H,0.8463675633628613,0.15363243663713866
62,2066,M,H,0.6184108603718651,0.3815891396281349
67,2066,M,H,0.3199522915273903,0.6800477084726098
72,2066,M,H,0.24694695750505632,0.7530530424949436
77,2066,M,H,0.01,0.99
82,2066,M,H,0.01,0.99
87,2066,M,H,0.01,0.99
17,2066,M,L,0.28008531394440983,0.7199146860555902
22,2066,M,L,0.5923092403596364,0.4076907596403636
27,2066,M,L,0.761717714112164,0.23828228588783595
32,2066,M,L,0.8025365052700685,0.19746349472993152
37,2066,M,L,0.8179384342544035,0.1820615657455965
42,2066,M,L,0.8233981962886905,0.1766018037113095
47,2066,M,L,0.8109837395228605,0.18901626047713949
52,2066,M,L,0.7635006545410382,0.23649934545896178
57,2066,M,L,0.6314139106318106,0.3685860893681894
62,2066,M,L,0.3350805664667223,0.6649194335332778
67,2066,M,L,0.12762818207737117,0.8723718179226289
72,2066,M,L,0.09253520869764649,0.9074647913023535
77,2066,M,L,0.01,0.99
82,2066,M,L,0.01,0.99
87,2066,M,L,0.01,0.99
17,2066,M,M,0.4126511163795307,0.5873488836204692
22,2066,M,M,0.7240302411750685,0.27596975882493147
27,2066,M,M,0.8523486542323055,0.14765134576769445
32,2066,M,M,0.8800860795750434,0.11991392042495663
37,2066,M,M,0.8902663008571536,0.10973369914284636
42,2066,M,M,0.8938385738642289,0.10616142613577106
47,2066,M,M,0.8856883764546704,0.11431162354532964
52,2066,M,M,0.8535838029070685,0.14641619709293152
57,2066,M,M,0.7557114017877054,0.24428859821229465
62,2066,M,M,0.47644920723152223,0.5235507927684777
67,2066,M,M,0.2089820051206456,0.7910179948793544
72,2066,M,M,0.15550727462458053,0.8444927253754195
77,2066,M,M,0.01,0.99
82,2066,M,M,0.01,0.99
87,2066,M,M,0.01,0.99
17,2067,F,H,0.6975127629406812,0.3024872370593188
22,2067,F,H,0.6975127629406812,0.3024872370593188
27,2067,F,H,0.8353572901777244,0.16464270982227558
32,2067,F,H,0.8657840474345295,0.13421595256547048
37,2067,F,H,0.877008773679965,0.12299122632003501
42,2067,F,H,0.8809549214803599,0.11904507851964008
47,2067,F,H,0.8719573126380523,0.12804268736194768
52,2067,F,H,0.8367073460707906,0.16329265392920944
57,2067,F,H,0.7311075537047288,0.2688924462952712
62,2067,F,H,0.44439764938342924,0.5556023506165708
67,2067,F,H,0.1884470279568767,0.8115529720431233
72,2067,F,H,0.1393014839788114,0.8606985160211886
77,2067,F,H,0.01,0.99
82,2067,F,H,0.01,0.99
87,2067,F,H,0.01,0.99
17,2067,F,L,0.16108460768377816,0.8389153923162218
22,2067,F,L,0.4176028518667444,0.5823971481332556
27,2067,F,L,0.6120596925825637,0.38794030741743635
32,2067,F,L,0.6673185204676653,0.33268147953233473
37,2067,F,L,0.6891825694169421,0.3108174305830579
42,2067,F,L,0.6970735228892585,0.3029264771107415
47,2067,F,L,0.6792382480443482,0.3207617519556518
52,2067,F,L,0.6143955624123366,0.3856044375876634
57,2067,F,L,0.45813466260256247,0.5418653373974376
62,2067,F,L,0.19917852135530142,0.8008214786446985
67,2067,F,L,0.06734314855610539,0.9326568514438947
72,2067,F,L,0.047915843690582244,0.9520841563094178
77,2067,F,L,0.01,0.99
82,2067,F,L,0.01,0.99
87,2067,F,L,0.01,0.99
17,2067,F,M,0.2574703632217099,0.7425296367782901
22,2067,F,M,0.5642429892326392,0.43575701076736084
27,2067,F,M,0.7401984557692332,0.25980154423076685
32,2067,F,M,0.7836565927588897,0.21634340724111034
37,2067,F,M,0.8001644459282297,0.19983555407177034
42,2067,F,M,0.8060308225058718,0.19396917749412823
47,2067,F,M,0.7927028652544155,0.20729713474558453
52,2067,F,M,0.7420878941649671,0.2579121058350329
57,2067,F,M,0.604240979785125,0.39575902021487497
62,2067,F,M,0.3099368426484835,0.6900631573515166
67,2067,F,M,0.11535070205230658,0.8846492979476934
72,2067,F,M,0.08331118399459897,0.916688816005401
77,2067,F,M,0.01,0.99
82,2067,F,M,0.01,0.99
87,2067,F,M,0.01,0.99
17,2067,M,H,0.8243085810909824,0.17569141890901763
22,2067,M,H,0.8243085810909824,0.17569141890901763
27,2067,M,H,0.911687519934275,0.08831248006572501
32,2067,M,H,0.9292035847101601,0.07079641528983993
37,2067,M,H,0.9355194340807688,0.06448056591923124
42,2067,M,H,0.937721591119069,0.06227840888093095
47,2067,M,H,0.9326866579353236,0.06731334206467643
52,2067,M,H,0.9124772520305654,0.0875227479694346
57,2067,M,H,0.846911910024397,0.15308808997560297
62,2067,M,H,0.6193996898258513,0.38060031017414875
67,2067,M,H,0.32086517716186697,0.6791348228381331
72,2067,M,H,0.24772742363083716,0.7522725763691629
77,2067,M,H,0.01,0.99
82,2067,M,H,0.01,0.99
87,2067,M,H,0.01,0.99
17,2067,M,L,0.28093144139594023,0.7190685586040597
22,2067,M,L,0.5933212278869205,0.40667877211307946
27,2067,M,L,0.7624778187399154,0.23752218126008462
32,2067,M,L,0.8032000419665339,0.19679995803346606
37,2067,M,L,0.8185619166760479,0.18143808332395206
42,2067,M,L,0.8240070044183619,0.17599299558163806
47,2067,M,L,0.8116255536669864,0.1883744463330136
52,2067,M,L,0.7642568319135855,0.2357431680864145
57,2067,M,L,0.6323890747300708,0.3676109252699292
62,2067,M,L,0.3360152884762783,0.6639847115237216
67,2067,M,L,0.12809569170097823,0.8719043082990218
72,2067,M,L,0.0928878580878567,0.9071121419121433
77,2067,M,L,0.01,0.99
82,2067,M,L,0.01,0.99
87,2067,M,L,0.01,0.99
17,2067,M,M,0.41366760392828245,0.5863323960717175
22,2067,M,M,0.7248671426109471,0.2751328573890529
27,2067,M,M,0.8528754926656985,0.1471245073343015
32,2067,M,M,0.8805278199429933,0.11947218005700666
37,2067,M,M,0.8906751977244296,0.1093248022755704
42,2067,M,M,0.8942357408790466,0.10576425912095344
47,2067,M,M,0.8861121496558746,0.11388785034412541
52,2067,M,M,0.8541069885320409,0.14589301146795908
57,2067,M,M,0.756484540927376,0.24351545907262395
62,2067,M,M,0.47749508789714046,0.5225049121028595
67,2067,M,M,0.20967589294887412,0.7903241070511259
72,2067,M,M,0.15605863827446678,0.8439413617255332
77,2067,M,M,0.01,0.99
82,2067,M,M,0.01,0.99
87,2067,M,M,0.01,0.99
17,2068,F,H,0.6983961552848079,0.3016038447151921
22,2068,F,H,0.6983961552848079,0.3016038447151921
27,2068,F,H,0.8359328077810916,0.16406719221890842
32,2068,F,H,0.8662702332293808,0.1337297667706192
37,2068,F,H,0.8774600538209865,0.12253994617901354
42,2068,F,H,0.8813936805575454,0.11860631944245459
47,2068,F,H,0.8724244314265205,0.12757556857347951
52,2068,F,H,0.8372790637412892,0.16272093625871076
57,2068,F,H,0.731930541145533,0.268069458854467
62,2068,F,H,0.44543253116671266,0.5545674688332873
67,2068,F,H,0.18908872085485703,0.8109112791451429
72,2068,F,H,0.13980465709463263,0.8601953429053674
77,2068,F,H,0.01,0.99
82,2068,F,H,0.01,0.99
87,2068,F,H,0.01,0.99
17,2068,F,L,0.16165168612642122,0.8383483138735788
22,2068,F,L,0.4186223498878147,0.5813776501121852
27,2068,F,L,0.613054201117732,0.386945798882268
32,2068,F,L,0.6682481526016334,0.3317518473983666
37,2068,F,L,0.690079480139045,0.30992051986095503
42,2068,F,L,0.6979576425279472,0.30204235747205277
47,2068,F,L,0.6801505368761539,0.3198494631238461
52,2068,F,L,0.6153878456929057,0.3846121543070943
57,2068,F,L,0.45917509635483134,0.5408249036451687
62,2068,F,L,0.19984775802515603,0.8001522419748439
67,2068,F,L,0.06760681636274882,0.9323931836372512
72,2068,F,L,0.04810737143858956,0.9518926285614104
77,2068,F,L,0.01,0.99
82,2068,F,L,0.01,0.99
87,2068,F,L,0.01,0.99
17,2068,F,M,0.2582722930118897,0.7417277069881103
22,2068,F,M,0.5652730132979056,0.4347269867020944
27,2068,F,M,0.7410034758421472,0.2589965241578528
32,2068,F,M,0.784366182392757,0.21563381760724298
37,2068,F,M,0.8008336519027306,0.1991663480972694
42,2068,F,M,0.8066851294230621,0.19331487057693786
47,2068,F,M,0.7933906065300149,0.20660939346998508
52,2068,F,M,0.7428890932524007,0.2571109067475993
57,2068,F,M,0.6052426045409696,0.39475739545903044
62,2068,F,M,0.31083377933118855,0.6891662206688114
67,2068,F,M,0.11577899967753368,0.8842210003224663
72,2068,F,M,0.08363176510732534,0.9163682348926747
77,2068,F,M,0.01,0.99
82,2068,F,M,0.01,0.99
87,2068,F,M,0.01,0.99
17,2068,M,H,0.8249146252779839,0.17508537472201613
22,2068,M,H,0.8249146252779839,0.17508537472201613
27,2068,M,H,0.9120243208294506,0.08797567917054938
32,2068,M,H,0.9294787511533497,0.07052124884665034
37,2068,M,H,0.9357717493344302,0.06422825066556981
42,2068,M,H,0.9379658606375127,0.06203413936248725
47,2068,M,H,0.9329492634947272,0.06705073650527282
52,2068,M,H,0.9128113291271627,0.08718867087283733
57,2068,M,H,0.8474544134521269,0.1525455865478731
62,2068,M,H,0.6203870522592824,0.37961294774071763
67,2068,M,H,0.3217789924580021,0.6782210075419979
72,2068,M,H,0.24850916370241652,0.7514908362975835
77,2068,M,H,0.01,0.99
82,2068,M,H,0.01,0.99
87,2068,M,H,0.01,0.99
17,2068,M,L,0.28177871410660205,0.718221285893398
22,2068,M,L,0.594331934963478,0.405668065036522
27,2068,M,L,0.7632358859136988,0.23676411408630116
32,2068,M,L,0.8038615741949436,0.19613842580505636
37,2068,M,L,0.8191834355872921,0.18081656441270788
42,2068,M,L,0.8246138675498478,0.17538613245015222
47,2068,M,L,0.8122653837719208,0.1877346162280792
52,2068,M,L,0.7650109711124821,0.23498902888751794
57,2068,M,L,0.6333626860618332,0.3666373139381668
62,2068,M,L,0.3369508435618513,0.6630491564381487
67,2068,M,L,0.12856443427761857,0.8714355657223815
72,2068,M,L,0.09324154188371765,0.9067584581162823
